İş dosyası formatı aşağıdaki gibidir:

1.	Kesim Numarası	Max. 4 digits
2.	Kesilecek Uzunluk	Max. 5 digits. i.e. 1200.0
3.	Profil Kodu	Max. 12 digits
4.	Sol Açı 	Max. 2 digits
5.	Sağ Açı	Max. 2 digits
6.	Adet	Max. 1 digits
7.	Yükseklik	Max. 3 digits
8.	Sipariş No	Max. 10 digits
9.	Poz No	Max. 3 digits
10.	Montaj	Max. 1 digits
11.	Araba No	Max. 1 digits
12.	Yer No	Max. 3 digits
13.	Diğer Eksen	Max. 5 digits. i.e. 1200.0
14.	Renk/Conta	Max. 2 digits
15.	İşlem	Max. 2 digits
16.	Bayi Adı	Max. 16 digits
